LOCATION,# of Deaths (BLACK)
District of Columbia,83
Michigan ,1553
Missouri ,128
South Carolina,99
Kansas,41
Wisconsin,102
Louisiana,1014
Illinois,828
Georgia ,573
Arkansas ,18
Mississippi ,150
Alabama ,118
Maryland,461
Tennessee ,60
North Carolina,123
New York State,5264
Kentucky ,37
Pennsylvania,226
Virginia ,137
Indiana ,171
Texas ,46
Florida ,263
New Jersey,1282
Connecticut,346
Delaware,36
California,196
Ohio,161
Oregon ,5
Massachusetts ,185
Colorado ,52
Oklahoma,20
Idaho ,1
Rhode Island ,16
Minnesota,17
Washington,23
Arizona ,10
Vermont ,0
New Hampshire ,0
Alaska ,0
ALL KNOWN DEATHS ,13845