LOCATION,Indigenous,Native Hawaiian or Other Pacific Islander,Other Races
Alabama,null,null,2
Alaska,2,1,
Arizona,65,null,5
Arkansas,null,1,1
California ,7,19,40
Colorado,1,5,12
Connecticut,null,null,23
Delaware,null,null,3
District of Columbia,null,null,
Florida,null,null,45
Georgia,1,null,6
Idaho,null,null,
Illinois,2,2,24
Indiana,null,null,111
Kansas,1,null,
Kentucky,null,null,2
Louisiana,null,5,15
Maryland,null,null,17
Massachusetts,null,null,100
Michigan,27,null,133
Minnesota,7,null,4
Mississippi,null,null,2
Missouri,null,null,16
New Hampshire,null,null,1
New Jersey,null,null,340
New York,null,null,1250
North Carolina,1,1,8
Ohio,null,null,18
Oklahoma,17,null,5
Oregon,2,1,7
Pennsylvania,null,null,7
Rhode Island,null,null,
South Carolina,null,null,3
Tennessee,null,null,5
Texas,null,null,1
Vermont,null,null,3
Virginia,null,null,54
Washington,7,4,26
Wisconsin,4,null,3
ALL KNOWN DEATHS,144,39,2292