State,Total Population,Hispanic,White,Black,Asian,Am. Indian
Alabama,4874747,201970,3191450,1302295,65494,22209
Alaska,739795,51712,448081,21192,48569,105146
Arizona,7016270,2202173,3836639,290379,225810,274496
Arkansas,3004279,223764,2173307,455500,46583,16901
California,39536653,15477306,14616636,2164239,5679986,147880
Colorado,5607154,1206724,3822055,219500,176176,32102
Connecticut,3588184,578833,2393694,354320,162564,7486
Delaware,961939,89540,597917,206690,38404,2344
District of Columbia,693972,76526,253416,314705,28056,1574
Florida,20984400,5370860,11288419,3224452,578136,42654
Georgia,10429379,1001472,5487048,3245371,408067,18335
Hawaii,1427538,150125,310584,22629,532881,1659
Idaho,1716943,213619,1407302,10947,22698,19136
Illinois,12802023,2206927,7834272,1790512,689701,12784
Indiana,6666818,461618,5278785,613080,146611,9694
Iowa,3145711,185746,2701250,103989,80937,7825
Kansas,2913123,345510,2210739,161148,85386,17617
Kentucky,4454189,155163,3769995,355829,64381,6882
Louisiana,4684333,243620,2739086,1505991,83959,21942
Maine,1335907,21899,1247090,15761,15141,8225
Maryland,6052177,612709,3066146,1776692,389297,11879
Massachusetts,6859819,811292,4906564,477846,450311,9439
Michigan,9962311,504398,7476534,1359264,306376,45421
Minnesota,5576606,296666,4455056,356949,272228,53674
Mississippi,2984100,86035,1688447,1130323,27467,13240
Missouri,6113532,255803,4854821,694270,123227,21332
Montana,1050493,38933,906221,4380,7182,62126
Nebraska,1920076,209917,1517634,87147,46837,12823
Nevada,2998039,864663,1462301,265472,249834,27991
New Hampshire,1342795,50393,1212790,18023,35602,1500
New Jersey,9005644,1840433,4939479,1148321,882064,9074
New Mexico,2088070,1018344,780688,38022,27514,182991
New York,19849399,3811654,10936578,2846481,1718948,41752
North Carolina,10273419,962466,6472902,2175617,293050,111317
North Dakota,755393,26479,637291,22830,12699,40745
Ohio,11658609,436762,9204374,1421030,256437,17866
Oklahoma,3930864,417708,2576937,283068,84404,288580
Oregon,4142776,540924,3132752,74345,180042,38855
Pennsylvania,12805537,938428,9780941,1367815,442425,14498
Rhode Island,1059639,163346,763670,57196,37798,3134
South Carolina,5024369,285990,3197812,1344741,74889,12370
South Dakota,869666,31278,715927,16345,10612,74563
Tennessee,6715984,361203,4962226,1115187,118312,13699
Texas,28304596,11158751,11855092,3330204,1344963,71859
Utah,3101833,434290,2428495,35689,74530,30073
Vermont,623657,11932,578706,7731,11073,1971
Virginia,8470020,790662,5226540,1595039,539382,20568
Washington,7405743,940792,5077103,262211,625939,75535
West Virginia,1815857,22807,1670509,71358,13695,2391
Wisconsin,5795483,397847,4706315,362314,158583,44664
Wyoming,579315,58122,486586,5154,4586,12341
"SOURCE: 2017 1-year American Community Survey estimates, U.S. Census Bureau",,,,,,